Sequence,CPU Usage (%),Memory Usage (MB)
1,13.64,36.02
2,0,35.93
3,3.92,37.01
4,1.4,36.64
5,2.85,37.14
6,3,37.26
7,1.53,38.82
8,3.9,38.59
9,2.81,39.54
10,2.25,39.1
11,2.54,39.13
12,2.32,39.75
13,3.4,40.03
14,2.24,40.36
15,2.79,41.37
16,1.35,40.36
17,2.45,41.04
18,2.36,41.82
19,3.09,41.82
20,2.19,42.88
21,2.28,42.06
22,2.31,42.45
23,2.06,42.23
24,2.32,42.7
25,2.19,41.5
26,1.98,41.83
27,2.22,42.34
28,2.24,41.7
29,2.36,43.05
30,2.47,41.94
31,2.27,43.16
32,2.47,42.11
33,1.5,42.82
34,2.56,41.75
35,2.92,42.13
36,2.26,41.69
37,2.35,41.75
38,2.54,42.5
39,1.82,41.92
40,1.48,42.74
41,2.85,42.82
42,3.82,43.66
43,2.54,43.87
44,0.01,44.55
