Sequence,CPU Usage (%),Memory Usage (MB)
1,19.3,36.4
2,0.68,36.34
3,0.3,37.29
4,7.95,37.39
5,7.23,38.79
6,6.36,40.94
7,7.36,42.87
8,10.64,44.39
9,7.9,44.64
10,5.84,45.3
11,6.18,47.22
12,8.8,48.35
13,3.76,47.86
14,7.19,49
15,5.24,49.41
16,11.95,49.51
17,8.57,49.27
18,5.52,49.93
19,8.63,54.66
20,5.74,56.39
21,16.6,59.63
22,8.93,56.57
23,5.91,58.89
24,5.75,59.52
25,6.75,59.55
26,5.76,59.6
27,7.56,60.4
28,6.46,60.54
29,5.69,61.15
30,3.21,61.24
31,13.98,63.54
32,7.26,61.52
33,12.64,66.07
34,10.85,63.75
35,2.49,66.4
36,5.42,70.16
37,5.48,70.17
38,6.07,75.25
39,9.58,77.04
40,3.53,77.04
41,5.28,77.05
42,5.61,77.56
43,10.07,77.71
44,7.39,77.58
45,3.83,78.57
