Sequence,CPU Usage (%),Memory Usage (MB)
1,13.56,35.96
2,0.29,36.2
3,0.98,36.9
4,6.14,38.02
5,1.55,38.23
6,5.07,37.93
7,6.49,40.79
8,6,39.07
9,5.96,40.61
10,1.23,39.64
11,8.1,40.37
12,0.52,41.18
13,5.13,40.91
14,1.63,41.82
15,5.18,41.47
16,4.79,42.84
17,0.03,41.95
18,7.11,42.51
19,0.49,42.62
20,4.95,42.04
21,0.52,42.4
22,3.88,42.3
23,1.94,42.46
24,3.54,42.39
25,4.82,42.3
26,0.47,42.39
27,5.28,42.18
28,0.49,43.28
29,4.13,42.26
30,1.67,43.23
31,4.03,42.75
32,6.42,43.79
33,0.46,43.54
34,4.65,43.52
35,0.96,44.11
36,5.63,44.09
37,0.47,44.93
38,4.31,44.13
39,1.35,45.46
40,8.01,44.4
41,4.8,45.41
42,0.02,45.28
43,11.34,45.61
44,0.7,46.43
45,22.89,45.49
46,0.73,45.97
47,5.42,45.93
48,24.74,38.98
49,0.34,39.49
50,4.7,40.32
51,0.68,40.36
52,5.06,40.09
53,1.51,39.66
54,4.83,40.09
55,5.08,41
56,0.59,40.34
57,4.28,40.91
58,0.76,40.98
59,5.42,42.47
60,1.39,41.99
61,4.49,42.39
62,5.14,42.68
63,0.02,42.57
64,5.44,43.62
65,0.49,43.75
66,4.04,45.34
